seed,dim,recon_rmse_hfval,y_rmse_test,nll_test_raw,coverage_test_raw,width_test_raw,historical_project_relative_report_path
42,64,1.0536438821873162e-05,0.021979277953505516,-2.35420114442805,0.9710000157356262,0.10780864208936691,result_out/fpca_dim_sweep_tm_outputs/seed_042/fpca_dim_064/fpca_dim064_seed42/report.json
55,64,1.0536438821873162e-05,0.01962282322347164,-2.4213931583873083,0.9771000146865845,0.10752110928297043,result_out/fpca_dim_sweep_tm_outputs/seed_055/fpca_dim_064/fpca_dim064_seed55/report.json
66,64,1.0536438821873162e-05,0.01891459710896015,-2.450736409348694,0.9779999852180481,0.1054631695151329,result_out/fpca_dim_sweep_tm_outputs/seed_066/fpca_dim_064/fpca_dim064_seed66/report.json
77,64,1.0536438821873162e-05,0.021931253373622894,-2.3379767301619365,0.9739999771118164,0.11149968206882477,result_out/fpca_dim_sweep_tm_outputs/seed_077/fpca_dim_064/fpca_dim064_seed77/report.json
88,64,1.0536438821873162e-05,0.022651836276054382,-2.3360785600542853,0.9763000011444092,0.11052382737398148,result_out/fpca_dim_sweep_tm_outputs/seed_088/fpca_dim_064/fpca_dim064_seed88/report.json
99,64,1.0536438821873162e-05,0.022667311131954193,-2.3154331471728455,0.9688000082969666,0.11361530423164368,result_out/fpca_dim_sweep_tm_outputs/seed_099/fpca_dim_064/fpca_dim064_seed99/report.json
111,64,1.0536438821873162e-05,0.02175711654126644,-2.3836187021391297,0.9793999791145325,0.10605116188526154,result_out/fpca_dim_sweep_tm_outputs/seed_111/fpca_dim_064/fpca_dim064_seed111/report.json
222,64,1.0536438821873162e-05,0.019635308533906937,-2.42224689484187,0.9761000275611877,0.10632724314928055,result_out/fpca_dim_sweep_tm_outputs/seed_222/fpca_dim_064/fpca_dim064_seed222/report.json
333,64,1.0536438821873162e-05,0.019140178337693214,-2.4331316691765017,0.984000027179718,0.1091376468539238,result_out/fpca_dim_sweep_tm_outputs/seed_333/fpca_dim_064/fpca_dim064_seed333/report.json
555,64,1.0536438821873162e-05,0.024020206183195114,-2.2934725206292303,0.96670001745224,0.1119246557354927,result_out/fpca_dim_sweep_tm_outputs/seed_555/fpca_dim_064/fpca_dim064_seed555/report.json
